fecha,entidad,hospitalizados,camas_intubados
2020-05-01,Ciudad de México,3037,825
2020-05-01,Estado de México,1241,203
2020-05-04,Ciudad de México,3201,849
2020-05-04,Estado de México,1517,231
2020-05-06,Ciudad de México,3378,875
2020-05-06,Estado de México,1526,229
2020-05-08,Ciudad de México,3574,914
2020-05-08,Estado de México,1529,248
2020-05-10,Ciudad de México,3767,919
2020-05-10,Estado de México,1633,278
2020-05-13,Ciudad de México,3964,987
2020-05-13,Estado de México,1685,267
2020-05-17,Ciudad de México,4390,1105
2020-05-17,Estado de México,1932,328
2020-05-19,Ciudad de México,4419,1119
2020-05-19,Estado de México,1901,334
2020-05-21,Ciudad de México,4533,1090
2020-05-21,Estado de México,1873,356
2020-05-25,Ciudad de México,4414,1074
2020-05-25,Estado de México,1858,381
2020-06-01,Ciudad de México,4468,1086
2020-06-01,Estado de México,1844,365
2020-06-04,Ciudad de México,4474,1064
2020-06-04,Estado de México,1896,392
2020-06-05,Ciudad de México,4491,1097
2020-06-05,Estado de México,1932,396
2020-06-09,Ciudad de México,4436,1017
2020-06-09,Estado de México,1937,344
2020-06-11,Ciudad de México,4460,1027
2020-06-11,Estado de México,1873,338
2020-06-12,Ciudad de México,4456,1020
2020-06-12,Estado de México,1867,346
2020-06-17,Ciudad de México,4303,1015
2020-06-17,Estado de México,1682,314
2020-06-22,Ciudad de México,3945,964
2020-06-22,Estado de México,1621,306
2020-06-26,Ciudad de México,3845,927
2020-06-26,Estado de México,1571,307
2020-07-02,Ciudad de México,3676,901
2020-07-02,Estado de México,1444,292
2020-07-05,Ciudad de México,3602,884
2020-07-05,Estado de México,1410,329
2020-07-08,Ciudad de México,3569,868
2020-07-08,Estado de México,1337,295
2020-07-09,Ciudad de México,3476,847
2020-07-09,Estado de México,1338,302
2020-07-11,Ciudad de México,3454,867
2020-07-11,Estado de México,1329,327
2020-07-12,Ciudad de México,3422,845
2020-07-12,Estado de México,1336,318
2020-07-17,Ciudad de México,3355,815
2020-07-17,Estado de México,1289,296
2020-07-22,Ciudad de México,3415,789
2020-07-22,Estado de México,1293,282
2020-07-24,Ciudad de México,3410,787
2020-07-24,Estado de México,1231,270
2020-07-25,Ciudad de México,3407,803
2020-07-25,Estado de México,1229,284
2020-07-26,Ciudad de México,3412,823
2020-07-26,Estado de México,1234,286
2020-08-01,Ciudad de México,3181,829
2020-08-01,Estado de México,1200,288
2020-08-02,Ciudad de México,3177,837
2020-08-02,Estado de México,1194,280
2020-08-06,Ciudad de México,3151,791
2020-08-06,Estado de México,1126,258
2020-08-08,Ciudad de México,3007,782
